object_level;object_name;okato;oktmo;gender;education_level;year;study_area;count_graduate;percent_employed;average_salary_fact_avg;average_salary_fact_med;average_salary_norm_avg;average_salary_norm_med;average_age;percent_combine_work_and_study
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Инженерное дело, технологии и технические науки;48432;82.69;57157.861;49416.67;52384.525;46375.837;29.214;49.558
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Искусство и культура;14834;80.683;57948.796;50300.0;51882.127;47637.504;29.056;42.221
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Математические и естественные науки;101;77.419;68316.536;61000.0;54531.707;51940.0;29.149;51.485
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Науки об обществе;97760;78.786;54771.254;47444.44;48448.6;43243.75;28.43;38.953
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Образование и педагогические науки;30787;88.437;53625.811;49090.91;50717.748;48500.829;32.202;66.148
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Сельское хозяйство и сельскохозяйственные науки;5232;79.046;48333.934;41200.0;45477.002;39042.5;30.019;47.343
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Гуманитарные науки;12547;79.726;67334.054;56833.33;60433.834;53018.184;27.999;57.926
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Здравоохранение и медицинские науки;62605;87.262;59673.07;53369.32;54836.603;51893.333;29.674;43.049
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Инженерное дело, технологии и технические науки;209024;80.707;82148.67;72571.43;75096.205;66927.27;28.22;53.425
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Искусство и культура;20585;79.179;57825.411;51000.0;52372.559;48334.668;28.034;43.226
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Математические и естественные науки;227;84.236;65269.571;52818.18;54122.018;44850.0;28.216;46.696
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Науки об обществе;134968;75.186;58825.253;50083.33;52292.215;45447.501;27.685;39.342
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Оборона и безопасность государства. Военные науки;2;100.0;;;;;26.0;50.0
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Образование и педагогические науки;33260;86.857;54381.85;49500.0;51448.937;48620.0;30.425;63.59
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2019;Сельское хозяйство и сельскохозяйственные науки;19867;77.214;65967.609;58416.67;63980.489;56317.426;29.557;53.315
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Гуманитарные науки;5955;77.121;77841.071;66000.0;71911.82;62404.0;28.239;63.09
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Здравоохранение и медицинские науки;8432;80.989;73388.515;65564.39;66472.259;62498.336;28.752;41.105
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Инженерное дело, технологии и технические науки;157345;80.402;90242.236;81250.0;82516.303;75133.33;28.168;53.995
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Искусство и культура;4107;80.271;70518.657;63208.335;63785.656;59052.917;27.864;46.043
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Математические и естественные науки;95;85.882;75511.64;61333.335;63989.251;50763.634;27.905;38.947
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Науки об обществе;40962;69.421;75031.03;64683.335;66616.01;57126.67;27.952;36.568
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Образование и педагогические науки;1548;80.28;73427.987;65212.12;67437.144;61418.75;29.37;57.558
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2019;Сельское хозяйство и сельскохозяйственные науки;14077;77.116;72944.686;66444.44;71177.089;64879.17;29.888;55.161
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Гуманитарные науки;6592;81.945;59336.832;51000.0;51695.289;47357.272;27.782;53.262
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Здравоохранение и медицинские науки;54173;88.113;57922.982;52166.67;53353.546;50850.0;29.817;43.352
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Инженерное дело, технологии и технические науки;51679;81.626;57634.481;50083.33;52621.313;46556.67;28.38;51.692
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Искусство и культура;16478;78.932;54934.004;48750.0;49770.476;46088.959;28.076;42.523
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Математические и естественные науки;132;83.051;57682.852;50500.0;46812.956;42548.337;28.439;52.273
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Науки об обществе;94006;77.54;53488.453;47000.0;47576.356;42840.004;27.568;40.551
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Оборона и безопасность государства. Военные науки;2;100.0;;;;;26.0;50.0
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Образование и педагогические науки;31712;87.161;53578.136;49000.0;50774.989;48285.0;30.477;63.884
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2019;Сельское хозяйство и сельскохозяйственные науки;5790;77.455;47866.565;42866.665;45303.42;40260.003;28.752;48.826
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Гуманитарные науки;13090;77.683;65344.285;55500.0;58857.217;51493.0;27.005;56.937
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Здравоохранение и медицинские науки;66306;85.576;58701.53;53000.0;54415.646;51762.5;28.508;43.47
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Инженерное дело, технологии и технические науки;218336;78.546;80197.031;71300.0;73384.025;65595.83;27.262;53.511
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Искусство и культура;21636;77.028;55697.557;48750.0;50771.715;46777.5;27.07;43.4
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Математические и естественные науки;262;77.727;76196.155;65333.33;61688.98;56758.337;28.71;48.855
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Науки об обществе;138113;72.778;57290.279;49250.0;51102.961;44522.0;26.752;38.489
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2020;Образование и педагогические науки;34838;85.28;53357.328;48750.0;50504.704;47651.25;29.503;63.454
